transaction_id,created_at,chargeback_at,chargeback_reason
6,2024-01-01 00:05:00,2024-01-26 00:05:00,DISPUTE_OTHER
15,2024-01-01 00:14:00,2024-02-02 00:14:00,FRAUD
23,2024-01-01 00:22:00,2024-02-10 00:22:00,FRAUD
28,2024-01-01 00:27:00,2024-01-08 00:27:00,DISPUTE_OTHER
32,2024-01-01 00:31:00,2024-01-13 00:31:00,FRAUD
33,2024-01-01 00:32:00,2024-01-19 00:32:00,NOT_RECEIVED
40,2024-01-01 00:39:00,2024-01-25 00:39:00,FRAUD
44,2024-01-01 00:43:00,2024-01-08 00:43:00,FRAUD
48,2024-01-01 00:47:00,2024-02-04 00:47:00,NOT_RECEIVED
63,2024-01-01 01:02:00,2024-01-27 01:02:00,NOT_RECEIVED
67,2024-01-01 01:06:00,2024-02-13 01:06:00,NOT_RECEIVED
74,2024-01-01 01:13:00,2024-02-01 01:13:00,FRAUD
80,2024-01-01 01:19:00,2024-01-28 01:19:00,FRAUD
82,2024-01-01 01:21:00,2024-02-06 01:21:00,NOT_RECEIVED
84,2024-01-01 01:23:00,2024-01-27 01:23:00,NOT_RECEIVED
86,2024-01-01 01:25:00,2024-02-02 01:25:00,DISPUTE_OTHER
104,2024-01-01 01:43:00,2024-01-12 01:43:00,FRAUD
108,2024-01-01 01:47:00,2024-01-19 01:47:00,NOT_RECEIVED
110,2024-01-01 01:49:00,2024-01-27 01:49:00,NOT_RECEIVED
111,2024-01-01 01:50:00,2024-01-19 01:50:00,FRAUD
126,2024-01-01 02:05:00,2024-02-09 02:05:00,DISPUTE_OTHER
131,2024-01-01 02:10:00,2024-01-27 02:10:00,NOT_RECEIVED
135,2024-01-01 02:14:00,2024-01-15 02:14:00,FRAUD
136,2024-01-01 02:15:00,2024-02-03 02:15:00,FRAUD
158,2024-01-01 02:37:00,2024-01-29 02:37:00,FRAUD
159,2024-01-01 02:38:00,2024-01-31 02:38:00,NOT_RECEIVED
172,2024-01-01 02:51:00,2024-02-06 02:51:00,FRAUD
175,2024-01-01 02:54:00,2024-01-28 02:54:00,FRAUD
179,2024-01-01 02:58:00,2024-02-05 02:58:00,FRAUD
187,2024-01-01 03:06:00,2024-01-22 03:06:00,FRAUD
189,2024-01-01 03:08:00,2024-01-29 03:08:00,FRAUD
199,2024-01-01 03:18:00,2024-01-10 03:18:00,FRAUD
214,2024-01-01 03:33:00,2024-02-12 03:33:00,NOT_RECEIVED
226,2024-01-01 03:45:00,2024-02-05 03:45:00,FRAUD
228,2024-01-01 03:47:00,2024-02-15 03:47:00,NOT_RECEIVED
238,2024-01-01 03:57:00,2024-01-09 03:57:00,FRAUD
240,2024-01-01 03:59:00,2024-01-24 03:59:00,FRAUD
246,2024-01-01 04:05:00,2024-01-24 04:05:00,FRAUD
250,2024-01-01 04:09:00,2024-01-16 04:09:00,FRAUD
258,2024-01-01 04:17:00,2024-01-25 04:17:00,FRAUD
261,2024-01-01 04:20:00,2024-01-29 04:20:00,FRAUD
266,2024-01-01 04:25:00,2024-01-14 04:25:00,FRAUD
275,2024-01-01 04:34:00,2024-01-14 04:34:00,FRAUD
290,2024-01-01 04:49:00,2024-01-28 04:49:00,FRAUD
295,2024-01-01 04:54:00,2024-02-06 04:54:00,FRAUD
305,2024-01-01 05:04:00,2024-02-01 05:04:00,FRAUD
309,2024-01-01 05:08:00,2024-02-14 05:08:00,FRAUD
313,2024-01-01 05:12:00,2024-01-24 05:12:00,NOT_RECEIVED
314,2024-01-01 05:13:00,2024-01-15 05:13:00,FRAUD
321,2024-01-01 05:20:00,2024-02-05 05:20:00,NOT_RECEIVED
327,2024-01-01 05:26:00,2024-01-23 05:26:00,FRAUD
329,2024-01-01 05:28:00,2024-01-27 05:28:00,FRAUD
332,2024-01-01 05:31:00,2024-01-17 05:31:00,FRAUD
336,2024-01-01 05:35:00,2024-01-24 05:35:00,FRAUD
340,2024-01-01 05:39:00,2024-01-14 05:39:00,FRAUD
345,2024-01-01 05:44:00,2024-01-31 05:44:00,FRAUD
350,2024-01-01 05:49:00,2024-01-29 05:49:00,NOT_RECEIVED
354,2024-01-01 05:53:00,2024-01-28 05:53:00,DISPUTE_OTHER
355,2024-01-01 05:54:00,2024-02-01 05:54:00,FRAUD
356,2024-01-01 05:55:00,2024-02-09 05:55:00,DISPUTE_OTHER
357,2024-01-01 05:56:00,2024-02-15 05:56:00,NOT_RECEIVED
363,2024-01-01 06:02:00,2024-01-13 06:02:00,FRAUD
365,2024-01-01 06:04:00,2024-01-16 06:04:00,FRAUD
