ip_id,ip_risk_level
1,0.1383
2,0.2928
3,0.1394
4,0.3065
5,0.8817
6,0.1205
7,0.8413
8,0.0342
9,0.1508
10,0.0891
11,0.0041
12,0.061
13,0.8892
14,0.249
15,0.0764
16,0.041
17,0.051
18,0.2138
19,0.1911
20,0.0378
21,0.1857
22,0.133
23,0.1033
24,0.0904
25,0.1233
26,0.114
27,0.9727
28,0.0909
29,0.0085
30,0.0471
31,0.0601
32,0.1181
33,0.0966
34,0.3549
35,0.041
36,0.0434
37,0.0798
38,0.2772
39,0.2365
40,0.2115
41,0.2132
42,0.1732
43,0.2012
44,0.1707
45,0.1592
46,0.0524
47,0.0708
48,0.0754
49,0.0255
50,0.1488
51,0.3058
52,0.1291
53,0.0761
54,0.0824
55,0.0472
56,0.0159
57,0.0336
58,0.289
59,0.092
60,0.102
61,0.0362
62,0.0064
63,0.0269
64,0.027
65,0.4825
66,0.0624
67,0.1329
68,0.3488
69,0.0849
70,0.0705
71,0.138
72,0.1034
73,0.0633
74,0.2809
75,0.0085
76,0.0114
77,0.2334
78,0.2153
79,0.2494
80,0.1466
81,0.0997
82,0.8208
83,0.0681
84,0.1365
85,0.1999
86,0.1709
87,0.1073
88,0.0742
89,0.2324
90,0.0756
91,0.2186
92,0.1548
93,0.0553
94,0.182
95,0.1621
96,0.3478
97,0.0045
98,0.0829
99,0.0585
100,0.1256
101,0.0239
102,0.0235
103,0.0386
104,0.1458
105,0.1237
106,0.1567
107,0.2022
108,0.0301
109,0.3645
110,0.3185
111,0.0153
112,0.021
113,0.0797
114,0.1369
115,0.1448
116,0.076
117,0.1324
118,0.1229
119,0.1206
120,0.0449
121,0.2333
122,0.0527
123,0.0263
124,0.0287
125,0.0627
126,0.0969
127,0.0219
128,0.2088
129,0.107
130,0.0282
131,0.0512
132,0.2711
133,0.279
134,0.1066
135,0.0836
136,0.786
137,0.0057
138,0.0275
139,0.0853
140,0.2714
141,0.0804
142,0.0998
143,0.0649
144,0.0745
145,0.0535
146,0.1169
147,0.1167
148,0.0366
149,0.1206
150,0.2868
151,0.2372
152,0.2318
153,0.0781
154,0.1511
155,0.005
156,0.0505
157,0.1256
158,0.0976
159,0.024
160,0.0461
161,0.1277
162,0.0787
163,0.0765
164,0.1879
165,0.0981
166,0.1856
167,0.3914
168,0.0436
169,0.1815
170,0.002
171,0.1322
172,0.0151
173,0.0186
174,0.0206
175,0.0064
176,0.8705
177,0.0593
178,0.1393
179,0.2695
180,0.2107
181,0.1125
182,0.1305
183,0.0595
184,0.1614
185,0.1343
186,0.1381
187,0.069
188,0.1934
189,0.3516
190,0.2754
191,0.2033
192,0.0264
193,0.2463
194,0.0733
195,0.0445
196,0.2747
197,0.1435
198,0.0024
199,0.1599
200,0.0347
201,0.0471
202,0.1731
203,0.0045
204,0.1742
205,0.064
206,0.0225
207,0.077
208,0.0322
209,0.0331
210,0.1194
211,0.039
212,0.0548
213,0.007
214,0.1221
215,0.1027
216,0.2373
217,0.1406
218,0.13
219,0.9002
220,0.1139
221,0.0516
222,0.1203
223,0.1045
224,0.0539
225,0.1181
226,0.2844
227,0.0355
228,0.048
229,0.0656
230,0.2417
231,0.0291
232,0.0186
233,0.3347
234,0.3669
235,0.1519
236,0.2969
237,0.1362
238,0.1547
239,0.147
240,0.1607
241,0.3356
242,0.1943
243,0.2013
244,0.0249
245,0.0813
246,0.0688
247,0.3133
248,0.1034
249,0.0883
250,0.1328
251,0.1883
252,0.0628
253,0.1774
254,0.1003
255,0.341
256,0.0747
257,0.0575
258,0.1051
259,0.072
260,0.1546
261,0.1114
262,0.3638
263,0.0899
264,0.0134
265,0.0822
266,0.1162
267,0.1791
268,0.016
269,0.0933
270,0.2222
271,0.0299
272,0.2349
273,0.0622
274,0.1102
275,0.1058
276,0.134
277,0.2319
278,0.2384
279,0.0639
280,0.0272
281,0.0178
282,0.0831
283,0.0435
284,0.2062
285,0.243
286,0.1687
287,0.4154
288,0.1583
289,0.2638
290,0.0887
291,0.1236
292,0.107
293,0.1177
294,0.1065
295,0.0365
296,0.2167
297,0.2044
298,0.0884
299,0.0407
300,0.0067
301,0.0139
302,0.0839
303,0.0104
304,0.0279
305,0.1727
306,0.1142
307,0.0054
308,0.0384
309,0.145
310,0.006
311,0.336
312,0.0353
313,0.0661
314,0.0578
315,0.0762
316,0.9057
317,0.0705
318,0.251
319,0.2883
320,0.1078
321,0.1349
322,0.1157
323,0.1054
324,0.1732
325,0.1563
326,0.13
327,0.2247
328,0.2963
329,0.052
330,0.112
331,0.0436
332,0.0473
333,0.149
334,0.2911
335,0.0354
336,0.193
337,0.0302
338,0.1689
339,0.1153
340,0.0469
341,0.1675
342,0.0527
343,0.0206
344,0.4509
345,0.2508
346,0.0316
347,0.0761
348,0.0922
349,0.0921
350,0.1345
351,0.599
352,0.1046
353,0.0588
354,0.0988
355,0.0381
356,0.1462
357,0.0504
358,0.0437
359,0.0641
360,0.2001
361,0.0701
362,0.0017
363,0.0705
364,0.0789
365,0.1942
366,0.031
367,0.1451
368,0.1079
369,0.0916
370,0.1253
371,0.0963
372,0.0288
373,0.1381
374,0.0549
375,0.2593
376,0.0554
377,0.0768
378,0.0959
379,0.1434
380,0.779
381,0.2257
382,0.0941
383,0.0264
384,0.2785
385,0.4236
386,0.3889
387,0.0455
388,0.0199
389,0.0536
390,0.1487
391,0.2131
392,0.0594
393,0.0852
394,0.0158
395,0.0445
396,0.2525
397,0.129
398,0.0989
399,0.2943
400,0.0197
401,0.0732
402,0.0089
403,0.3226
404,0.0432
405,0.0437
406,0.0967
407,0.0049
408,0.2141
409,0.1189
410,0.3517
411,0.0488
412,0.1294
413,0.0598
414,0.2198
415,0.1126
416,0.0537
417,0.0365
418,0.1892
419,0.0776
420,0.0716
421,0.0792
422,0.1228
423,0.0513
424,0.0732
425,0.1146
426,0.1825
427,0.1832
428,0.1054
429,0.0796
430,0.1756
431,0.032
432,0.1198
433,0.0346
434,0.0421
435,0.1275
436,0.0378
437,0.0313
438,0.0326
439,0.0944
440,0.1348
441,0.3962
442,0.017
443,0.0825
444,0.0432
445,0.0627
446,0.2787
447,0.2446
448,0.1803
449,0.0377
450,0.3614
451,0.2529
452,0.0084
453,0.2923
454,0.1195
455,0.2038
456,0.3083
457,0.1245
458,0.2347
459,0.0895
460,0.2442
461,0.1825
462,0.1717
463,0.151
464,0.0441
465,0.0513
466,0.0268
467,0.2594
468,0.0897
469,0.1769
470,0.2357
471,0.1406
472,0.0351
473,0.0992
474,0.022
475,0.1169
476,0.0358
477,0.0388
478,0.2374
479,0.1171
480,0.077
481,0.2472
482,0.013
483,0.0869
484,0.8528
485,0.0497
486,0.3235
487,0.1882
488,0.1449
489,0.0362
490,0.048
491,0.1617
492,0.222
493,0.0049
494,0.0509
495,0.2438
496,0.1266
497,0.2181
498,0.0209
499,0.0604
500,0.0998
501,0.0019
502,0.2619
503,0.2213
504,0.1285
505,0.1015
506,0.1589
507,0.157
508,0.374
509,0.061
510,0.0665
511,0.0528
512,0.1288
513,0.034
514,0.1343
515,0.1163
516,0.2889
517,0.1942
518,0.015
519,0.0644
520,0.1898
521,0.1354
522,0.1043
523,0.1206
524,0.0983
525,0.1375
526,0.0552
527,0.879
528,0.0416
529,0.1815
530,0.1016
531,0.0524
532,0.3134
533,0.2041
534,0.1318
535,0.0162
536,0.1322
537,0.1946
538,0.076
539,0.1749
540,0.0913
541,0.1307
542,0.0309
543,0.3039
544,0.272
545,0.1403
546,0.2651
547,0.1475
548,0.1724
549,0.1597
550,0.1954
551,0.0268
552,0.0705
553,0.1067
554,0.132
555,0.0399
556,0.0498
557,0.227
558,0.0502
559,0.0652
560,0.228
561,0.3496
562,0.0101
563,0.0706
564,0.0902
565,0.1843
566,0.0594
567,0.0203
568,0.2736
569,0.0403
570,0.1602
571,0.1682
572,0.2005
573,0.0968
574,0.2318
575,0.0209
576,0.819
577,0.099
578,0.0271
579,0.0117
580,0.1539
581,0.0941
582,0.0968
583,0.2518
584,0.1334
585,0.1005
586,0.0374
587,0.1501
588,0.2776
589,0.0358
590,0.0435
591,0.1095
592,0.1382
593,0.2177
594,0.1286
595,0.1387
596,0.1315
597,0.1422
598,0.0272
599,0.0151
600,0.3172
601,0.18
602,0.0928
603,0.323
604,0.1617
605,0.0993
606,0.1038
607,0.0828
608,0.3189
609,0.0641
610,0.0273
611,0.0528
612,0.0343
613,0.0805
614,0.077
615,0.0324
616,0.3979
617,0.2702
618,0.2528
619,0.0184
620,0.2519
621,0.4724
622,0.1229
623,0.2486
624,0.0395
625,0.1407
626,0.0709
627,0.0354
628,0.0587
629,0.0833
630,0.0405
631,0.0941
632,0.02
633,0.2041
634,0.1307
635,0.0631
636,0.0692
637,0.2641
638,0.0044
639,0.0671
640,0.1567
641,0.1051
642,0.0725
643,0.0054
644,0.0232
645,0.2101
646,0.0827
647,0.1509
648,0.0175
649,0.1375
650,0.0511
651,0.0126
652,0.0464
653,0.2214
654,0.1286
655,0.2534
656,0.1645
657,0.2912
658,0.1931
659,0.0786
660,0.2038
661,0.0407
662,0.056
663,0.1319
664,0.0207
665,0.3523
666,0.0125
667,0.136
668,0.1738
669,0.1265
670,0.0225
671,0.1683
672,0.0741
673,0.0881
674,0.2449
675,0.0298
676,0.0834
677,0.1149
678,0.1406
679,0.093
680,0.0536
681,0.0416
682,0.1327
683,0.2316
684,0.0772
685,0.146
686,0.0065
687,0.0001
688,0.0336
689,0.1246
690,0.0489
691,0.0536
692,0.0339
693,0.1727
694,0.117
695,0.16
696,0.2146
697,0.8243
698,0.1837
699,0.1944
700,0.1355
701,0.1288
702,0.5804
703,0.2576
704,0.2192
705,0.1058
706,0.1493
707,0.1825
708,0.132
709,0.1746
710,0.1069
711,0.1715
712,0.1095
713,0.1609
714,0.9561
715,0.0884
716,0.14
717,0.0779
718,0.1177
719,0.107
720,0.0628
721,0.1043
722,0.0691
723,0.1852
724,0.0362
725,0.1584
726,0.1407
727,0.246
728,0.0511
729,0.0095
730,0.23
731,0.1946
732,0.0229
733,0.1781
734,0.0088
735,0.2596
736,0.0971
737,0.2011
738,0.2388
739,0.2344
740,0.1243
741,0.0598
742,0.0559
743,0.1187
744,0.1462
745,0.2441
746,0.0623
747,0.1515
748,0.0416
749,0.2497
750,0.1687
751,0.1306
752,0.046
753,0.0492
754,0.0488
755,0.837
756,0.0674
757,0.1277
758,0.2445
759,0.0844
760,0.0251
761,0.1243
762,0.1567
763,0.1478
764,0.0251
765,0.266
766,0.1271
767,0.0659
768,0.1709
769,0.2679
770,0.1371
771,0.261
772,0.0773
773,0.1419
774,0.1141
775,0.219
776,0.1113
777,0.0558
778,0.034
779,0.0038
780,0.083
781,0.0771
782,0.2724
783,0.183
784,0.0917
785,0.0201
786,0.1142
787,0.388
788,0.0481
789,0.2216
790,0.1789
791,0.1155
792,0.0761
793,0.8611
794,0.1802
795,0.0407
796,0.022
797,0.0252
798,0.2237
799,0.1236
800,0.0747
801,0.1655
802,0.0855
803,0.0476
804,0.0768
805,0.0476
806,0.0423
807,0.1565
808,0.1735
809,0.0819
810,0.1625
811,0.0277
812,0.027
813,0.0064
814,0.0543
815,0.0255
816,0.0759
817,0.1946
818,0.2131
819,0.0368
820,0.1875
821,0.1146
822,0.0701
823,0.1064
824,0.16
825,0.1458
826,0.4405
827,0.2228
828,0.1259
829,0.113
830,0.1185
831,0.2114
832,0.1057
833,0.0026
834,0.2329
835,0.0773
836,0.0671
837,0.0158
838,0.2161
839,0.186
840,0.0262
841,0.0808
842,0.2132
843,0.0758
844,0.1078
845,0.1803
846,0.0702
847,0.1194
848,0.1608
849,0.0843
850,0.069
851,0.1157
852,0.1776
853,0.2072
854,0.3261
855,0.1904
856,0.1491
857,0.1284
858,0.8118
859,0.15
860,0.1234
861,0.072
862,0.2351
863,0.1715
864,0.1446
865,0.2279
866,0.0262
867,0.0521
868,0.0438
869,0.2627
870,0.1027
871,0.2152
872,0.0575
873,0.154
874,0.8621
875,0.1443
876,0.0049
877,0.292
878,0.0667
879,0.2219
880,0.0111
881,0.1571
882,0.0233
883,0.3435
884,0.1256
885,0.1143
886,0.1265
887,0.1966
888,0.0578
889,0.0364
890,0.1877
891,0.1011
892,0.0611
893,0.1312
894,0.4644
895,0.0214
896,0.2182
897,0.0746
898,0.0197
899,0.0784
900,0.2568
901,0.1843
902,0.1918
903,0.0846
904,0.163
905,0.0566
906,0.1058
907,0.1417
908,0.1227
909,0.0848
910,0.3577
911,0.1016
912,0.0804
913,0.1922
914,0.0144
915,0.1089
916,0.248
917,0.054
918,0.0109
919,0.1536
920,0.0338
921,0.183
922,0.1228
923,0.1049
924,0.0561
925,0.0159
926,0.0808
927,0.1859
928,0.2127
929,0.1262
930,0.1985
931,0.0396
932,0.0469
933,0.1927
934,0.032
935,0.1528
936,0.0195
937,0.1256
938,0.0265
939,0.2833
940,0.0136
941,0.0501
