transaction_id,created_at,user_id,device_id,ip_id,merchant_id,country,card_country,channel,psp_name,payment_method,amount,bin_risk,ip_risk_level,user_age_days,email_risk,is_3ds,retry_count,auth_status,decline_code,is_psp_outage_window,fraud_label
1,2024-01-01 00:00:00,28270,27,2105,638,PH,PH,Web,Checkout,VISA,116.28,0.1852,0.1022,130,0,0,1,Approved,,0,0
2,2024-01-01 00:01:00,24991,1358,6509,1510,US,US,App,Checkout,VISA,88.2,0.1823,0.0772,54,0,0,0,Declined,51,0,0
3,2024-01-01 00:02:00,6404,4528,25308,873,IN,IN,Web,Adyen,MASTERCARD,22.93,0.0281,0.0058,145,0,0,0,Approved,,0,0
4,2024-01-01 00:03:00,4277,8462,18475,886,DE,DE,Web,Adyen,MASTERCARD,99.05,0.314,0.0834,36,0,0,0,Approved,,0,0
5,2024-01-01 00:04:00,25585,2663,3671,1674,BR,BR,Web,Adyen,PIX,84.22,0.0908,0.0748,72,0,0,0,Approved,,0,0
6,2024-01-01 00:05:00,22477,302,26625,1339,TH,TH,Web,Stripe,MASTERCARD,21.96,0.1626,0.071,18,0,0,0,Approved,,0,1
7,2024-01-01 00:06:00,2978,5784,20957,753,BR,BR,App,Stripe,MASTERCARD,97.69,0.1493,0.0321,1,1,0,0,Approved,,0,0
8,2024-01-01 00:07:00,6973,15477,15674,793,ID,ID,App,Stripe,VISA,85.2,0.0859,0.0996,4,0,1,0,Approved,,0,0
9,2024-01-01 00:08:00,29863,16579,43705,1270,ID,ID,App,Stripe,VISA,76.88,0.217,0.3626,18,0,0,1,Declined,51,0,0
10,2024-01-01 00:09:00,5214,421,11167,1629,PH,PH,Web,Stripe,MASTERCARD,88.36,0.0644,0.2401,99,0,0,1,Declined,05,0,0
11,2024-01-01 00:10:00,26498,10089,4702,33,MX,MX,Web,Adyen,PayPal,136.74,0.1491,0.058,10,0,0,0,Approved,,0,0
12,2024-01-01 00:11:00,50,17359,41543,1126,US,US,App,Checkout,VISA,66.83,0.2539,0.0752,14,0,0,0,Declined,12,0,0
13,2024-01-01 00:12:00,8640,2894,36387,1017,BR,BR,Web,Stripe,PIX,77.19,0.0373,0.0474,65,0,0,1,Approved,,0,0
14,2024-01-01 00:13:00,14198,12452,27176,1394,MX,US,Web,Stripe,MASTERCARD,114.37,0.0164,0.3931,101,0,0,0,Declined,14,0,0
15,2024-01-01 00:14:00,26173,13237,10310,1327,BR,BR,App,Checkout,PIX,39.96,0.0423,0.081,15,0,0,1,Approved,,0,1
16,2024-01-01 00:15:00,20384,10147,11171,1360,PH,PH,App,Adyen,PayPal,116.25,0.094,0.2455,31,0,0,0,Approved,,0,0
17,2024-01-01 00:16:00,25597,5648,24501,927,DE,DE,App,Stripe,VISA,148.39,0.072,0.0652,11,0,0,0,Approved,,0,0
18,2024-01-01 00:17:00,22349,5936,12155,866,BR,BR,App,Adyen,VISA,134.28,0.1506,0.1582,23,0,0,2,Declined,14,0,0
19,2024-01-01 00:18:00,19419,342,44114,1065,MX,TH,App,Stripe,VISA,102.17,0.1848,0.1992,14,0,1,0,Declined,12,0,0
20,2024-01-01 00:19:00,20112,6066,20342,173,TH,TH,App,Checkout,MASTERCARD,130.44,0.0708,0.1103,124,0,0,0,Approved,,0,0
