user_id,user_age_days,email_risk
1,33,0
2,211,0
3,92,1
4,64,0
5,12,0
6,12,0
7,4,0
8,141,0
9,64,0
10,86,0
11,1,0
12,245,0
13,125,1
14,17,0
15,14,0
16,14,0
17,25,0
18,52,0
19,40,0
20,24,0
21,66,1
22,11,0
23,24,0
24,32,0
25,43,0
26,108,0
27,16,0
28,51,0
29,63,0
30,3,0
31,65,0
32,13,0
33,5,1
34,208,0
35,236,1
36,116,0
37,25,1
38,7,0
39,81,0
40,41,0
41,9,0
42,48,0
43,2,0
44,168,0
45,21,0
46,76,0
47,26,0
48,51,0
49,55,0
50,14,0
51,244,0
52,104,1
53,196,0
54,158,1
55,64,0
56,178,0
57,6,0
58,15,0
59,3,0
60,28,0
61,34,0
62,22,0
63,124,0
64,31,0
65,23,0
66,55,0
67,11,0
68,113,0
69,5,0
70,303,1
71,104,0
72,16,0
73,0,0
74,118,0
75,86,0
76,91,0
77,103,0
78,5,0
79,31,0
80,9,0
81,139,0
82,68,1
83,28,0
84,5,0
85,26,0
86,28,0
87,92,0
88,71,0
89,153,0
90,45,0
91,9,0
92,87,0
93,100,0
94,58,0
95,103,1
96,48,0
97,52,0
98,39,0
99,2,0
100,8,0
101,2,0
102,71,0
103,26,0
104,50,0
105,167,0
106,20,0
107,37,0
108,99,0
109,18,0
110,6,0
111,24,0
112,12,0
113,186,0
114,116,0
115,70,0
116,144,0
117,114,0
118,14,0
119,156,0
120,54,0
121,115,0
122,158,0
123,27,0
124,8,0
125,18,0
126,39,0
127,119,0
128,138,0
129,0,0
130,50,0
131,38,0
132,18,0
133,9,1
134,29,0
135,200,0
136,27,0
137,51,0
138,85,0
139,32,1
140,250,0
141,230,0
142,20,1
143,48,0
144,25,0
145,23,0
146,3,0
147,66,0
148,49,0
149,4,0
150,23,0
151,167,0
152,19,0
153,11,0
154,47,0
155,297,0
156,19,0
157,78,0
158,100,0
159,19,0
160,91,0
161,32,0
162,70,0
163,70,1
164,54,0
165,7,0
166,126,1
167,27,0
168,14,0
169,3,0
170,63,0
171,79,0
172,1,1
173,50,0
174,18,0
175,73,0
176,13,0
177,82,0
178,34,0
179,193,0
180,10,0
181,29,0
182,8,0
183,181,0
184,147,0
185,21,0
186,76,0
187,119,0
188,57,0
189,53,0
190,19,0
191,7,0
192,159,0
193,161,0
194,70,0
195,29,0
196,30,0
197,91,0
198,159,0
199,153,0
200,106,0
201,72,0
202,6,0
203,12,0
204,160,0
205,65,0
206,1,0
207,7,0
208,76,0
209,0,0
210,12,0
211,56,0
212,82,0
213,74,0
214,18,0
215,87,0
216,19,0
217,28,0
218,96,0
219,73,0
220,132,0
221,75,0
222,59,0
223,7,0
224,32,0
225,22,0
226,20,0
227,253,0
228,35,0
229,156,0
230,70,0
231,111,0
232,49,0
233,60,0
234,47,0
235,15,0
236,90,0
237,23,0
238,2,0
239,73,0
240,14,0
241,197,1
242,215,0
243,172,0
244,32,1
245,1,1
246,184,0
247,39,0
248,238,0
249,232,0
250,134,0
251,24,0
252,34,0
253,133,0
254,27,0
255,13,0
256,57,0
257,193,0
258,83,0
259,59,0
260,7,1
261,67,0
262,323,0
263,11,0
264,51,0
265,147,0
266,95,0
267,84,0
268,85,0
269,31,0
270,24,0
271,116,0
272,116,0
273,141,0
274,171,0
275,50,0
276,49,1
277,112,0
278,73,0
279,85,0
280,111,0
281,155,0
282,29,0
283,33,0
284,7,0
285,60,0
286,3,0
287,44,0
288,55,0
289,24,0
290,63,0
291,2,0
292,3,0
293,121,0
294,31,0
295,10,0
296,52,1
297,103,0
298,17,0
299,68,0
300,6,0
301,4,0
302,53,0
303,54,0
304,71,0
305,91,0
306,261,0
307,51,0
308,27,1
309,111,0
310,22,0
311,40,0
312,6,0
313,2,0
314,230,0
315,127,0
316,83,0
317,37,0
318,13,0
319,12,0
320,20,1
321,56,0
322,88,1
323,76,0
324,23,0
325,217,0
326,94,0
327,57,0
328,66,1
329,38,0
330,20,0
331,31,0
332,99,0
333,1,0
334,9,0
335,3,0
336,3,0
337,135,0
338,85,0
339,45,0
340,7,0
341,47,0
342,45,0
343,13,0
344,40,1
345,36,0
346,67,0
347,71,0
348,3,0
349,33,0
350,69,0
351,49,0
352,136,0
353,75,0
354,12,0
355,5,0
356,72,1
357,2,0
358,62,0
359,197,0
360,60,0
361,34,0
362,72,0
363,43,0
364,55,0
365,199,0
366,34,0
367,227,0
368,165,0
369,15,0
370,5,0
371,7,0
372,1,0
373,7,0
374,80,0
375,5,0
376,27,0
377,130,0
378,2,0
379,118,0
380,23,0
381,9,0
382,84,0
383,69,0
384,147,1
385,93,0
386,114,0
387,23,0
388,14,0
389,97,0
390,115,1
391,326,0
392,37,0
393,33,0
394,105,0
395,29,0
396,187,0
397,137,0
398,39,0
399,97,0
400,98,1
401,8,1
402,163,0
403,49,0
404,123,0
405,27,0
406,158,0
407,35,0
408,1,0
409,165,0
410,7,0
411,27,0
412,210,0
413,211,0
414,60,1
415,70,0
416,42,0
417,24,0
418,28,0
419,78,0
420,98,0
421,110,0
422,109,0
423,7,0
424,48,0
425,4,0
426,56,0
427,41,1
428,153,0
429,30,0
430,9,0
431,11,0
432,100,0
433,67,0
434,7,0
435,6,0
436,85,0
437,5,0
438,121,0
439,86,0
440,6,0
441,6,0
442,302,0
443,33,0
444,32,0
445,117,0
446,206,1
447,299,0
448,98,0
449,33,0
450,6,0
451,105,0
452,57,0
453,39,0
454,166,1
455,8,0
456,47,0
457,1,0
458,44,0
459,4,1
460,9,0
461,9,0
462,73,0
463,96,0
464,61,0
465,229,0
466,33,0
467,24,0
468,142,0
469,18,0
470,231,0
471,1,0
472,245,0
473,3,0
474,155,0
475,53,0
476,347,0
477,5,1
478,56,0
479,244,0
480,52,0
481,69,0
482,83,0
483,42,0
484,69,0
485,61,0
486,162,0
487,3,0
488,23,0
489,210,0
490,155,0
491,43,0
492,68,0
493,23,0
494,15,0
495,44,0
496,31,0
497,61,0
498,6,0
499,257,0
500,300,0
501,84,1
502,54,0
503,26,0
504,118,1
505,81,0
506,12,0
507,169,0
508,121,0
509,209,0
510,91,0
511,67,0
512,38,0
513,189,0
514,141,0
515,3,0
516,2,0
517,33,0
518,116,1
519,305,0
520,11,0
521,63,0
522,34,0
523,245,0
524,129,0
525,128,0
526,44,0
527,38,0
528,22,0
529,4,0
530,140,0
531,117,0
532,365,0
533,365,0
534,57,0
535,103,1
536,203,0
537,133,0
538,20,0
539,42,0
540,10,0
541,216,1
542,65,0
543,18,0
544,78,0
545,67,0
546,31,0
547,8,0
548,78,0
549,51,0
550,104,1
551,51,0
552,134,1
553,56,0
554,58,0
555,146,0
556,36,0
557,10,0
558,2,0
559,98,0
560,68,0
561,85,0
562,17,0
563,10,0
564,1,0
565,30,0
566,62,0
567,35,1
568,40,0
569,164,0
570,30,0
571,51,0
572,107,0
573,35,0
574,68,0
575,139,0
576,209,0
577,11,0
578,183,0
579,47,0
580,21,0
581,43,0
582,274,1
583,47,0
584,28,1
585,70,1
586,19,0
587,6,0
588,10,0
589,10,0
590,12,0
591,10,0
592,72,0
593,14,0
594,30,0
595,159,0
596,45,0
597,77,0
598,13,0
599,15,0
600,3,0
601,13,0
602,23,0
603,14,0
604,7,0
605,9,0
606,43,0
607,16,0
608,32,0
609,49,0
610,82,0
611,3,0
612,112,0
613,69,0
614,6,0
615,145,1
616,178,0
617,4,0
618,23,0
619,115,0
620,97,0
621,14,0
622,16,0
623,32,0
624,46,0
625,67,0
626,32,0
627,43,0
628,96,0
629,3,0
630,20,0
631,87,0
632,158,0
633,50,0
634,53,0
635,8,0
636,42,0
637,53,0
638,19,0
639,22,0
640,33,0
641,1,1
642,27,0
643,17,0
644,28,0
645,9,0
646,155,0
647,63,0
648,80,0
649,109,0
650,48,0
651,6,0
652,54,0
653,62,0
654,96,0
655,40,0
656,10,0
657,23,0
658,32,0
659,73,0
660,59,0
661,31,1
662,301,0
663,65,1
664,19,0
665,8,0
666,12,0
667,20,0
668,12,0
669,14,0
670,23,0
671,13,0
672,159,0
673,6,0
674,52,0
675,37,0
676,283,0
677,8,1
678,36,0
679,244,0
680,140,0
681,119,0
682,21,0
683,13,1
684,77,0
